Node,Community,X,Y
Peter Lizak,3,-4.96836698775586,2.7411693226425524
Punin Andrii,3,-3.858247435928915,1.6291105527938419
Rodolfos Stamatiou,3,-1.6404483878905303,-1.023779345137716
SALVA-DALI,3,-0.7624701435327831,-2.0214729834499434
Sebastian  Zsombor Peczely,3,-3.923420995448921,1.700378150940252
Semetey Tologontegin,3,-1.482410313370049,-1.2289004741717013
Sergey Sklokin,3,-2.055947543286914,-0.6625132389629691
Seyed Poormosavi,3,-2.840068299887118,0.14148533460925095
Shane Melaugh,3,-0.8335944889878968,-1.992302409950118
Sharapov Evgeny,3,-3.4615036776885746,0.9174474351707153
Shubh Laddha,3,-7.330855466589128,5.556826361691527
Suleyman Suleymanlı,3,-6.691028845340911,4.6225526968627095
Tim Grutter,3,-5.416754827831174,3.3745313306687557
Tyhran Ambartsumian,3,-4.549432635470483,2.3238755247129967
Vaclav Finek,3,-6.127780916956639,3.9704150782248635
Vadym Petrovskyi,3,-1.8405208003583637,-0.936975205829584
Vahap Sanal,3,-4.187359576483414,1.8148572260157432
Vaibhav Raut,3,-7.158760403723982,5.333530626254229
Valerio Carnicelli,3,-3.4960942989825434,1.198617353185158
Viktor Skliarov,3,-3.4428511222522165,1.019110580383299
Vojislav Milanovic,3,-3.17496885088184,0.7642461595349441
Walter Cuevas Araya,3,-7.216028864295532,5.5244177130028636
Yevhenii Yelisieiev,3,-5.043565952878056,2.9015405092343993
Zachary Calderon,3,-3.7040748826707475,1.3794294409380572
Zane Nasir,3,-3.19574552936558,0.7982380848385381
anon6121824,3,-1.3653414974208173,-1.4114258586216717
freshfoodcompany,3,-6.724467156578193,4.90930500219893
hermionegrangermagic,3,-4.81424733147096,2.657123101913614
Štěpán Hrbek,3,-5.567402402047503,3.512989552256553
Николай Оглоблин,3,-5.5148717301684975,3.3893576501734737
Amir hosein Kashefi,3,-2.0986221821372335,-0.5416299153177817
Artyom Bogdanov,3,-1.7108591829018645,-0.9648172746585358
Azer Mirzoev,2,0.31390016967172824,-2.3322385628090383
Bianka Havanecz,2,0.04771787007573757,-2.405851660891627
Carlos Alvarado,2,-0.4371214195254034,-2.323926650796589
Carlos Andres Obregón,2,0.04839263279916561,-2.413849836843457
David Anton Guijarro,2,-0.16689497198545458,-2.449172224838569
Dmitry Zacurdajev,0,2.1811731266332606,-0.6701712051408159
Frankie Badacsonyi,2,1.0612151792457674,-1.6471355817309308
German Bazeev,2,-0.5032106456253952,-2.304666003276392
Grigor Grigorov,2,0.880085857570165,-1.97728216795721
Ieuan Ward,0,2.3702323482191283,-0.5155480656069746
Kaan Ozcan,2,-0.46977832846970746,-2.35660966055921
Karsten Schuster,3,-1.4932411534256442,-1.1862491778334954
Katharina Reinecke,0,0.6470638710256783,-1.8876199465542551
Ken Arnold,3,-2.442096190303105,-0.20641243000893794
Mauri Lehtosaari,2,-0.5440528026145941,-2.2317583271887895
Miguel Angel Marino,0,1.1844780014017764,-1.4100343662611114
Pablo Salinas Herrera,1,-0.18183467685386062,-2.6081447609829773
Pavel Eljanov,4,-0.02683497546011767,-2.462439426988991
Tomasz Mika,0,2.6988603738253594,-0.033386132884112824
Vladimir Burmakin,2,0.04484196579944483,-2.238697850316183
Zbigniew Pakleza,2,-0.15418248136223694,-2.4878835410403917
Aaron Cooper,0,1.043685349811245,-1.5203957813339006
Aleksander Hnydiuk,0,8.740930511555305,5.073875342671575
Aleksei Belov,0,3.0320632234567695,0.08572741772512213
Alexander Velikanov,0,2.13035853004156,-0.6016283624291261
Alma Jaqueline Mora Velasco,0,7.906283896958491,4.498524169024363
Alopekos,0,8.013190884234664,4.3562198500364495
Alvaro Alves De Almeida Junior,0,5.365559814613139,2.164390825962824
Anastasia Travkina,1,0.3423379664499499,-2.144602952176765
Andrey Gonzalez Zharikov,0,3.730085565894779,0.8813288055541548
Arnold Essing,2,0.177874438806759,-2.3543795539190557
Aron Pasti,0,3.6249505522596026,0.5654460645307147
Bruno Morado Rodrigues,0,5.001496582863852,2.0091090613138176
Dashgyn Ibadov,1,2.64259669747791,-0.4226062346763782
Dmitry Semenenko,2,-0.37851253569655713,-2.3004129399828344
Emilia Zavivaeva,0,7.287177674425004,4.015374940333002
Fabian Vivas,0,3.0360426352477456,0.05943772795945229
Francisco Ferrari Pironti,0,0.9897632885649987,-1.5748001718647315
Gabriel Gonzaga Garcia,0,0.9946130584139391,-1.6286751651215938
Isabelle Tamarozi,0,3.0633792494426184,0.2935072868754765
Jacek Stachanczyk,0,5.727304409980381,2.623304281852953
Jacob Templen Grave,0,4.143860987166563,1.060893527589798
Jan Roebers,1,0.016331883321588605,-2.340479894810975
John S. White,0,2.421364148502511,-0.31616086944803223
Jose Felix Calvo Gonzalez,0,5.208616113195621,2.0165488615434666
József Mátyás Herpai,1,-0.10532778634154161,-2.342222028699285
Karl Bowden,0,5.009970166862653,1.7823053249191594
Kateryna Lagno,1,-0.2614931528139933,-2.430117949074601
Kirill Kotlyar,0,1.2944958449630648,-1.3013454814552796
Klendi Zeneli,0,3.944320020547852,1.0689053201573027
Lars Andreassen,0,0.5173826435248956,-1.9685496088784802
Lewis Martin,0,2.684453949983007,0.004372483517884302
Madara Golsta,0,9.011740908992442,5.445712138808844
Mai Narva,0,1.948505656246696,-0.9253967324801553
Marcin Molenda,0,8.740930836334712,5.18370062791519
Marlon Jodar,0,2.4878436446437484,-0.3553568351818087
Maxim Ventura,2,-0.2113001909313675,-2.5285821574273983
Moksh Amit Doshi,0,6.25070795747801,2.693035852705275
Monika Marcińczyk,0,9.784460748627454,6.161901626983313
Myroslava Hrabinska,0,2.0513380237633903,-0.6659521343959138
Natalia Zhukova,0,6.341159508408207,2.8652217154507227
Nitai Leve,1,1.011771435310746,-1.6983829421492245
Paolo Ciuffoletti,0,8.33152042895304,4.71877865234003
Pawel Flis,2,-0.006656545656649345,-2.288117553898293
Robert Aloma,1,-0.18109237606378822,-2.5169939388544904
Robert Mcligeyo,0,5.563795367581749,2.3140331010392634
Roberto Martin del Campo,0,5.489331672653401,2.395122222715489
Roman Kozelov,1,-0.03713318138146076,-2.475269364097947
San Thit Lwin,0,0.542605338236926,-1.993446816226045
Santiago Quiñones García,0,2.128436048434354,-0.7006163061663974
Thomas Thiel,0,5.286022323263101,2.1413944874399746
Tymon Ochedzan,0,0.8410592014402758,-1.735421631407013
Umut Erdem Gündüz,1,-0.1631569017289712,-2.4283420248938272
Valery Skatchkov,0,8.293764206648312,4.666692798330438
Vladimir Grabinsky,0,5.331491579504892,2.2712713247678504
Volodymyr Vetoshko,0,4.441369921643709,1.0988674375765084
natelleka,1,-0.49355097714561,-2.1973002123179675
sau6on,0,8.468273693771385,4.863784887454372
Олег Губанов,0,2.8033419043097147,0.08121619090980804
Aaron Jacobson,3,-1.3430146103953535,-1.412850761919223
Abdulla Gadimbayli,1,-1.033619115840317,-1.7456985435824388
Aleksa Petrovic,3,-0.4156299240179245,-2.3838642905807155
Alex Villa Tornero,3,-4.117342092131398,1.8993542724056725
Amina Kairbekova,1,-0.3452111414354704,-2.3837280724890824
Amir Ali Ghafourian,1,-0.11916095142081524,-2.4059242326992605
Andrei Purygin,1,-1.032874933579228,-1.7529760798776621
Armin Mušović,3,-5.03966575174936,2.9403806507555332
Artem Alek Fedorov,3,-0.7363425620406331,-2.09436853715679
Artem Bardyk,4,-0.3239787938276233,-2.4929475830350163
Arvids Andrejevs,3,-4.64130416416144,2.411899481571736
Ashot Nadanian,1,-0.8281559626785554,-2.032046340351585
Assel Lesbekova,3,-2.175244773872761,-0.40350901547668744
Bryan Weisz,1,-0.7521545803214041,-2.08108148184462
Deniel Safarov,1,-0.3412183193138396,-2.425870174304757
Edgard Vinicius Zanette,4,-0.20857269436679118,-2.549817609862836
Egor Kurchenko,4,-0.23533818498951023,-2.530994171226978
Eray Kilic,3,-3.737296620748202,1.3757973643747596
Ermes Espinosa Veloz,1,-0.5816231734516771,-2.233009796086617
Federico Sellitti,3,-2.04759536997399,-0.6636774201073026
Inayat Bolat,1,-1.1246606875196048,-1.758712564743753
Ivan Kubatko,1,-0.5085143318121943,-2.284395660963604
Jacob Dreelinck,1,-0.2504313952129374,-2.409311822406257
Julian Colville,1,-0.49945936290785864,-2.3008072052851443
Kiren Vivek Nasta,3,-2.6804275954398022,0.17051469268042924
Laura Viñolas,1,-0.21231347960622718,-2.365951348616604
MI Marcelo Playa,4,-0.19325207768575256,-2.5310834660277965
Mahmoud Alhadad,3,-2.4598815824392535,-0.11362911463385958
Marek Pniaczek,4,-0.19343856260550657,-2.5474423878955275
Máté Gyenes,4,-0.6348563772855621,-2.1723133458536195
Niranjan Navalgund,3,-2.0574654625986795,-0.5271962991945276
Noam Vitenberg,3,-2.0642504599197733,-0.4923729008734775
Richard Pert,3,-2.632581655211058,-0.05168534749695803
Sahaj Grover,1,-0.00887814501224237,-2.4187404206476804
Shamil Arslanov,1,-0.844208846596321,-2.006824419292905
Silvius Tiberius,1,-0.2528764698692719,-2.3401485515462093
Simeon Todev,1,-0.5752601905006335,-2.1625424732000504
Sravan Renjith,1,-0.7722943900380761,-2.1173387855402725
Thomas Christensen,1,-0.4588996327074835,-2.251807642849141
Tim Kett,1,-0.25788831442603444,-2.302151624866907
Volen Dyulgerov,1,0.35781069373806595,-2.1357789157379474
William Graif,1,0.15342133862668003,-2.2986065671666784
Yaroslav Remizov,3,-1.869821690068481,-0.7239139915295849
Aaron Matthes,2,-0.35358994973780405,-2.277193355046445
Adam Collins,3,-3.7851268301855363,1.284377970624856
Adi Menahem,3,-2.677408106316927,0.18333668190519406
Aleksandar Topalov,0,3.7113170776413735,0.6751056467160286
Alex Bullen,2,-0.15117901314128337,-2.457560937572358
Artem Gulevich,0,5.556529537103603,2.2600106714644057
Artem Legenya,0,0.8326133713908364,-1.7100765714575028
Artem Sadovsky,3,-0.8868624974807406,-1.9015104117542043
Artur Tin Lun Dai Lima,0,0.1573009331561446,-2.241406351186883
Atanas Dimitrov,2,-1.5804820032817761,-1.2692180383537366
Ayrat Vafin,2,-0.5251344815168294,-2.288514183058761
Boris Bruned,2,0.6617226376938128,-1.8863535734342538
