Name,Solid_Style_Prob,Solid_Style_Score
Ariel Nicolas Tokman,0.8002502509082425,0.8894
Arina Kiseleva,0.39191131321886696,0.3718
Arjun Adireddy,0.4832876846173108,0.5069
Arjun Erigaisi,0.3317016162992332,0.2998
Arman Erzhanov,0.6434213787183237,0.7158
Arman Geivondian,0.5057332711621699,0.5377
Arman Ghevondyan,0.603535205650093,0.672
Arman Mikaelyan,0.5698868716824268,0.6263
Armin Kekic,0.8202406977889101,0.9069
Armin Mušović,0.5928751240981226,0.6583
Arnaldo Jesus Fernandez De La Vara Mulet,0.6657016441329222,0.7488
Arnold Essing,0.507501066713952,0.5399
Arnold Mayeregger,0.28665520563143093,0.249
Aron Pasti,0.19709554808785756,0.1365
Arsal Gardezi,0.42080744030301426,0.4119
Arsene Kukhmazov,0.8112991338389659,0.8987
Arseniy Astafurov,0.7927310308630672,0.8805
Arseniy Nesterov,0.523927416900867,0.564
Arseny Alavkin,0.5240642213244163,0.5644
Artak Manukyan,0.8759486914458771,0.9451
Artem Alek Fedorov,0.17838326596951948,0.1213
Artem Bardyk,0.9405908090062691,0.9848
Artem Chernobay,0.10802123831530774,0.0594
Artem Dyachuk,0.05320129972845319,0.0145
Artem Galaktionov,0.6853769210576455,0.7677
Artem Gulevich,0.36899090564485826,0.3425
Artem Koval,0.6455778696596159,0.7213
Artem Legenya,0.45710140172403013,0.4638
Artem Omelja,0.5598275109185847,0.6148
Artem Sadovsky,0.6628107006557846,0.7462
Artem Timofeev,0.8074310382109517,0.8968
Artemii Khanbutaev,0.37259079562876085,0.3484
Artemiki Lebedev,0.7276721818485277,0.816
Artemy Gogolev,0.5617894058328444,0.6178
Arthur De Winter,0.40387584934123205,0.3881
Arthur Lucas,0.7345791301821254,0.8204
Arthur Muromtsev,0.12030546279896566,0.0712
Arthur Olinto de Souza,0.3974449018719513,0.3792
Artin Ashraf,0.3034600741370858,0.2675
Artiom Samsonkin,0.5149125852513157,0.5525
Artiom Stribuk,0.7313450582875295,0.8186
Artur Dilmukhametov,0.25403457502287835,0.2078
Artur Gabrielian,0.5857962256969839,0.6456
Artur Tin Lun Dai Lima,0.5545469534570987,0.6067
Artyom Bogdanov,0.6900547427176409,0.774
Artyom Manukyan,0.22255487488464412,0.1651
Arush Chitre,0.04645495226384245,0.0119
Arvids Andrejevs,0.23201191107104474,0.1766
Arvind Jayaraman,0.7879541417453817,0.8761
Aryan Tari,0.7019177641718158,0.7885
Arystanbek Urazayev,0.6583184762233845,0.738
Asa Hoffmann,0.4545019394362386,0.4594
Ashot Nadanian,0.7034105133993478,0.7915
Ashritha Eswaran,0.2564412682043976,0.2111
Asish Panda,0.19683719944002914,0.1362
Aslan Aitbayev,0.4327538922737807,0.4297
Assel Lesbekova,0.5636433482581646,0.6204
Assel Serikbay,0.3995000850184883,0.3829
Aswath S,0.7391402114780943,0.826
Asylbek Abdyjapar,0.2276538487538235,0.1714
Atanas Dimitrov,0.11275230714248738,0.0638
Atilla Eynullayev,0.32821588738009233,0.2957
Atousa Pourkashiyan,0.6239556886124771,0.6939
Attila Jr. Forgacs,0.3536315162216795,0.3276
Attila Turzo,0.7289782381292681,0.8171
Augustin Droin,0.2688947869950368,0.2241
Augustinas Bazilius,0.7838516108228107,0.8742
Aung Thant Zin,0.4802938534321678,0.5017
Aurelio Vila Dupla,0.4940140044791067,0.5217
Austin Mei,0.3588589361195756,0.331
Avi Kaplan,0.12446600029341826,0.0727
Avital Boruchovsky,0.7899360978695371,0.8779
Axel Bachmann,0.4407153610643582,0.4401
Axel Delorme,0.9458511667801475,0.9874
Ayan Allahverdiyeva,0.06761137020485405,0.0223
Aydin Suleymanli,0.05331887197320452,0.0148
Aydin Turgut,0.03891250205911041,0.0089
Ayrat Vafin,0.7086857947897819,0.7985
Azer Mirzoev,0.9288458516406234,0.9792
Aziz Degenbaev,0.11152503079616656,0.0623
BOZNENA PIDDUBNA,0.4511753371354068,0.456
Baadur Jobava,0.5949533252688515,0.6616
Babageldi Annaberdiyev,0.6364820053746558,0.7091
Bach Ngoc Thuy Duong,0.5955249936563074,0.6623
Bahadir Ozen,0.8355636274703254,0.9191
Bahadur Khodzhamkuliev,0.457055307669863,0.4635
Baira Kovanova,0.2846679590155114,0.2468
Bakhtiyar Askarov,0.392776185940953,0.3733
Bakhtiyar Nugumanov,0.5226472881101593,0.5618
Balaji Daggupati,0.18543764799092693,0.1276
Balázs Csonka,0.9041203506355296,0.9655
Bao Nghia Dong,0.11959219732864224,0.0698
Barad Yeganegi,0.5121711827670536,0.5473
Barbara Skuhala,0.11091788234774187,0.0616
Bardiya Daneshvar,0.27270376414246567,0.2327
Barnabas Kovacsy,0.8168023377620397,0.9035
Bartosz Przybylski,0.28530959114287613,0.2479
Batuhan Özen,0.33958939360362345,0.3091
Bayastan Sydykov,0.2526501105519493,0.2056
Beksultan Moldagali,0.6340295238712228,0.7072
Belka1989,0.5968141430392084,0.6646
Ben Finegold,0.6700767220149259,0.7529
Ben Johnson,0.4944045537401306,0.5224
Bence Pribelszky,0.12000533002708733,0.0705
Benedikt Dauner,0.707127648372433,0.7955
Benedikt Huber,0.4092796963852738,0.3985
Benik Agasarov,0.6741181668191958,0.7566
Benjamin Bok,0.885840085855907,0.9547
Benny Aizenberg,0.22347293034541038,0.1673
